time |	latitude |	longitude |	depth |	mag |	magType
1990-01-04T05:32:21.040Z	-15.397	-172.85	53.5	6.5	mw
1990-01-05T18:27:00.120Z	18.863	-106.795	33	6	mw
1990-01-06T21:44:56.260Z	-10.681	92.987	14.8	6	mw
1990-01-08T19:44:34.670Z	52.038	-169.446	33	6	mw
1990-01-09T18:51:29.210Z	24.753	95.241	119.2	6.3	mw
1990-01-14T03:03:19.230Z	37.819	91.971	12.2	6	mw
1990-01-14T21:04:03.260Z	-29.709	-177.467	58.3	6.1	mw
1990-01-18T12:45:23.600Z	-30.141	-177.688	13.4	6	mw
1990-01-20T01:27:09.800Z	35.832	52.954	24.5	6	mw
1990-01-22T17:26:11.460Z	3.885	96.1	45.7	6.2	mw
1990-02-02T14:49:09.480Z	-18.407	176.924	10	6	mw
1990-02-05T05:16:46.150Z	37.047	71.25	109.9	6.3	mw
1990-02-08T07:15:32.230Z	9.755	124.694	25.9	6.8	mw
1990-02-08T07:46:59.780Z	9.725	124.625	30.3	6.6	mw
1990-02-10T03:27:41.280Z	-42.343	172.798	9.8	6	mw
1990-02-17T02:28:01.820Z	29.533	130.732	65.9	6.1	mw
1990-02-19T05:34:37.040Z	-40.347	176.102	24.3	6.3	mw
1990-02-19T06:48:10.120Z	-15.465	166.385	12.1	6.9	mw
1990-02-20T06:53:39.890Z	34.706	139.252	14.2	6.4	mw
1990-02-24T19:13:14.870Z	-15.523	-175.236	33	6.2	mw
1990-02-26T19:06:36.440Z	-26.651	-114.726	14.2	6.1	mw
1990-03-03T12:16:27.960Z	-22.122	175.163	33.2	7.6	mw
1990-03-03T12:34:59.260Z	-21.557	175.753	33	6.2	ms
1990-03-03T12:44:22.420Z	-22.405	174.164	33	6.6	ms
1990-03-04T19:46:19.670Z	28.925	66.331	10.1	6.1	mw
1990-03-05T16:38:12.570Z	-18.318	168.063	20.7	7.1	mw
1990-03-05T20:47:00.760Z	36.907	73.021	12.2	6.2	mw
1990-03-12T14:41:19.480Z	51.484	-175.032	13.8	6.4	mw
