time |	latitude |	longitude |	depth |	mag |	magType
1980-01-01T16:42:40.000Z	38.815	-27.78	10	6.7	ms
1980-01-02T20:58:44.200Z	5.984	126.188	63	6	mb
1980-01-03T20:22:28.100Z	5.688	126.023	114	5.8	mb
1980-01-04T06:22:08.500Z	6.058	126.469	54	5.8	ms
1980-01-12T15:31:41.800Z	33.494	57.191	33	5.9	ms
1980-01-12T15:57:01.900Z	41.679	143.589	33	6	ms
1980-01-14T12:19:40.200Z	-22.398	-175.035	33	6	ms
1980-01-18T21:55:26.700Z	-53.658	159.628	10	5.9	ms
1980-01-19T07:02:35.000Z	51.317	-178.488	50	5.8	mb
1980-01-20T07:28:43.900Z	2.714	128.526	211	5.8	mb
1980-01-24T19:00:09.500Z	37.852	-121.815	11	5.8	mw
1980-01-27T16:38:01.100Z	-35.379	-105.869	10	5.9	ms
1980-02-03T11:58:39.800Z	-17.649	-171.184	33	6.4	ms
1980-02-04T03:45:56.000Z	-57.907	-7.188	10	6.2	ms
1980-02-06T05:50:54.900Z	-7.883	156.236	40	5.8	mb
1980-02-07T10:49:16.000Z	-54.158	158.89	10	6.5	ms
1980-02-07T10:59:10.300Z	-54.264	158.77	10	5.8	mb
1980-02-12T03:20:23.200Z	-4.703	153.196	75	5.9	mb
1980-02-13T22:09:29.600Z	36.517	76.892	63	6.1	mb
1980-02-15T14:25:48.900Z	44.533	149.739	35	6	ms
1980-02-22T03:02:47.200Z	30.506	88.583	33	6.2	ms
1980-02-22T21:15:42.100Z	-10.694	161.601	68	5.9	mb
1980-02-23T05:51:03.200Z	43.53	146.753	44	7	ms
1980-02-23T22:38:53.500Z	43.243	146.9	45	5.9	mb
1980-02-27T12:44:26.700Z	43.269	146.845	42	5.9	mb
1980-02-27T21:17:20.200Z	-6.017	150.189	53	6.6	ms
1980-02-27T21:21:53.900Z	-6.082	150.038	58	5.9	mb
1980-02-29T11:13:26.700Z	6.299	126.881	104	6.1	mb
1980-03-02T23:28:57.100Z	26.993	126.621	33	6.3	ms
1980-03-07T08:25:07.800Z	-16.689	-72.952	43	5.9	ms
1980-03-08T14:29:56.000Z	-22.811	171.39	43	6	ms
1980-03-08T22:12:10.300Z	-22.673	171.357	38	6.7	ms
1980-03-24T03:59:51.300Z	52.969	-167.67	33	6.9	ms
1980-03-24T04:02:19.300Z	52.6	-167.453	33	6.1	mb
1980-03-26T20:43:37.900Z	23.867	-45.558	10	6.3	ms
1980-03-27T15:29:35.500Z	-17.983	-175.95	33	5.8	ms
1980-03-29T04:07:41.700Z	-4.598	154.878	495	5.8	mb
1980-03-29T06:41:50.500Z	-43.079	-75.204	33	5.9	ms
1980-03-31T07:32:31.800Z	35.448	135.473	359	5.8	mb
1980-03-31T12:41:47.700Z	16.129	121.962	43	6.3	ms
1980-03-31T13:04:31.100Z	-20.561	-173.803	33	6.2	ms
1980-04-01T11:11:54.900Z	-20.686	-173.588	37	6.1	ms
1980-04-01T16:21:48.100Z	4.028	97.555	41	5.9	ms
1980-04-11T21:55:50.900Z	-22.957	171.173	33	6.2	ms
1980-04-13T05:41:44.400Z	8.961	126.299	49	5.9	mb
1980-04-13T18:04:31.900Z	-23.466	-177.297	79	6.7	mb
1980-04-14T12:39:03.900Z	-10.878	164.076	33	6.1	ms
1980-04-16T12:18:20.600Z	-8.082	108.793	84	5.8	mb
1980-04-20T02:37:49.300Z	11.736	57.706	10	6.2	ms
1980-05-03T09:30:08.500Z	51.233	173.679	33	5.8	mb
1980-05-04T18:35:20.400Z	38.053	48.985	46	6.2	ms
1980-05-05T22:59:52.800Z	-5.903	154.389	33	5.8	ms
1980-05-08T08:03:37.600Z	34.419	140.25	62	5.8	mb
1980-05-09T22:32:42.700Z	-55.835	147.248	10	6.4	ms
1980-05-12T16:37:34.900Z	-14.464	167.902	20	6.1	ms
